S.No	Index Name	Code	System Value	S.No	SS Notes
170	NIFTY SDL Apr 2032 Top 12 Equal Weight Index	NSDLAPR32TOP12	NIFTY SDL Apr 2032 Top 12 Equal Weight Index	170	Active
171	NIFTY SDL Dec 2026 Index	NSDLDEC26	NIFTY SDL Dec 2026 Index	171	Active
172	NIFTY SDL Dec 2028 Index	NSDLDEC28	NIFTY SDL Dec 2028 Index	172	Active
173	NIFTY SDL Plus G-Sec Jun 2028 30:70 Index	NSDLGSECJUN283070	NIFTY SDL Plus G-Sec Jun 2028 30:70 Index	173	Active
174	NIFTY SDL Plus G-Sec Jun 2028 70:30 Index	NSDLGSECJUN287030	NIFTY SDL Plus G-Sec Jun 2028 70:30 Index	174	Active
175	NIFTY SDL Plus G-Sec Jun 2029 70:30 Index	NSDLGSECJUN297030	NIFTY SDL Plus G-Sec Jun 2029 70:30 Index	175	Active
176	NIFTY SDL Plus G-Sec June 2027 40:60	NSDLGSECJUNE274060	NIFTY SDL Plus G-Sec June 2027 40:60	176	Active
177	NIFTY SDL Plus G-Sec Sep 2027 50:50 Index	NSDLGSECSEP275050	NIFTY SDL Plus G-Sec Sep 2027 50:50 Index	177	Active
178	NIFTY SDL Jul 2026 Index	NSDLJUL26	NIFTY SDL Jul 2026 Index	178	Active
179	NIFTY SDL Jul 2028	NSDLJUL28	NIFTY SDL Jul 2028	179	Active
180	NIFTY SDL Jul 2033 Index	NSDLJUL33	NIFTY SDL Jul 2033 Index	180	Active
181	NIFTY SDL Jun 2027 Index	NSDLJUN27	NIFTY SDL Jun 2027 Index	181	Active
181	NIFTY SDL JUN 2027 INDEX 	NSDLJUN27	NIFTY SDL Jun 2027 Index	181	Active
182	NIFTY SDL June 2028	NSDLJUNE28	NIFTY SDL June 2028	182	Active
183	NIFTY SDL Oct 2026 Index	NSDLOCT26	NIFTY SDL Oct 2026 Index	183	Active
184	NIFTY SDL Plus PSU Bond Sep 2026 60:40 Index	NSDLPSUSEP266040	NIFTY SDL Plus PSU Bond Sep 2026 60:40 Index	184	Active
185	NIFTY SDL Sep 2025 Index	NSDLSEP25	NIFTY SDL Sep 2025 Index	185	Active
186	NIFTY SDL Sep 2026 Index	NSDLSEP26	NIFTY SDL Sep 2026 Index	186	Active
187	NIFTY SDL Sep 2026 V1 Index	NSDLSEP26V1	NIFTY SDL Sep 2026 V1 Index	187	Active
188	NIFTY SDL Sep 2027 Index	NSDLSEP27	NIFTY SDL Sep 2027 Index	188	Active
189	NIFTY Shariah 25	NSHARIAH25	NIFTY Shariah 25	189	Active
190	NIFTY SME Emerge	NSMEE	NIFTY SME Emerge	190	Active
191	NIFTY Services Sector	NSS	NIFTY Services Sector	191	Active
192	Nifty Top 15 Equal Weight	NT15EW	NIFTY Top 15 Equal Weight	192	Active
193	Nifty Top 20 Equal Weight	NT20EW	NIFTY Top 20 Equal Weight	193	Active
194	NIFTY Top 10 Equal Weight	NTG25CAP	NIFTY Top 10 Equal Weight	194	Active
195	NIFTY Tata Group	NTGROUP	NIFTY Tata Group	195	Check
196	NIFTY Tata Group 25% Cap	NTGROUP25	NIFTY Tata Group 25% Cap	196	Check
197	NIFTY Transportation & Logistics	NTL	NIFTY Transportation & Logistics	197	Active
198	NIFTY Total Market	NTM	NIFTY Total Market	198	Active
199	BSE 100	S&PBSE100	S&P BSE 100	199	Active
199	S&P BSE 100	S&PBSE100	S&P BSE 100	199	Active
200	BSE 100 ESG Index	S&PBSE100ESG	S&P BSE 100 ESG Index	200	Active
200	S&P BSE 100 ESG Index	S&PBSE100ESG	S&P BSE 100 ESG Index	200	Active
201	BSE 100 LargeCap TMC Index	S&PBSE100LCTMC	S&P BSE 100 LargeCap TMC Index	201	Active
201	S&P BSE 100 LargeCap TMC Index	S&PBSE100LCTMC	S&P BSE 100 LargeCap TMC Index	201	Active
202	BSE 150 MidCap Index	S&PBSE150MIDCAP	S&P BSE 150 MidCap Index	202	Active
202	S&P BSE 150 MidCap Index	S&PBSE150MIDCAP	S&P BSE 150 MidCap Index	202	Active
203	BSE 200	S&PBSE200	S&P BSE 200	203	Active
